id,payment_method,payment_from,payment_to,amount,status,updated_at
1,UPI,1,20,387198,Failed,2022-12-06 12:40:14
2,UPI,1,188,977654,Failed,2022-12-06 12:40:14
3,UPI,1,129,396981,Failed,2022-12-06 12:40:14
4,UPI,2,18,723828,Failed,2022-12-06 12:40:14
5,UPI,2,153,466867,Failed,2022-12-06 12:40:14
6,UPI,2,96,188326,Failed,2022-12-06 12:40:14
7,UPI,3,97,427109,Failed,2022-12-06 12:40:14
8,UPI,3,54,288908,Failed,2022-12-06 12:40:14
9,UPI,3,42,735519,Failed,2022-12-06 12:40:14
10,UPI,4,100,875925,Failed,2022-12-06 12:40:14
11,UPI,4,97,175454,Failed,2022-12-06 12:40:14
12,UPI,4,36,171556,Failed,2022-12-06 12:40:14
13,UPI,5,83,702520,Failed,2022-12-06 12:40:14
14,UPI,5,165,225571,Failed,2022-12-06 12:40:14
15,UPI,5,70,362630,Failed,2022-12-06 12:40:14
16,UPI,6,54,386300,Failed,2022-12-06 12:40:14
17,UPI,6,43,924856,Failed,2022-12-06 12:40:14
18,UPI,6,2,724120,Failed,2022-12-06 12:40:14
19,UPI,7,175,339192,Failed,2022-12-06 12:40:14
20,UPI,7,55,130246,Failed,2022-12-06 12:40:14
21,UPI,7,193,176605,Failed,2022-12-06 12:40:14
22,UPI,8,15,650630,Failed,2022-12-06 12:40:14
23,UPI,8,114,198024,Failed,2022-12-06 12:40:14
24,UPI,8,160,579000,Failed,2022-12-06 12:40:14
25,UPI,9,151,170601,Failed,2022-12-06 12:40:14
26,UPI,9,3,977833,Failed,2022-12-06 12:40:14
27,UPI,9,193,881390,Failed,2022-12-06 12:40:14
28,UPI,10,83,502414,Failed,2022-12-06 12:40:14
29,UPI,10,74,21972,Failed,2022-12-06 12:40:14
30,UPI,10,138,527143,Failed,2022-12-06 12:40:14
31,UPI,11,77,191761,Failed,2022-12-06 12:40:14
32,UPI,11,140,877723,Failed,2022-12-06 12:40:14
33,UPI,11,150,965659,Failed,2022-12-06 12:40:14
34,UPI,12,130,139753,Failed,2022-12-06 12:40:14
35,UPI,12,131,941448,Failed,2022-12-06 12:40:14
36,UPI,12,11,924505,Failed,2022-12-06 12:40:14
37,UPI,13,47,506416,Failed,2022-12-06 12:40:14
38,UPI,13,147,320762,Failed,2022-12-06 12:40:14
39,UPI,13,86,104297,Failed,2022-12-06 12:40:14
40,UPI,14,81,938594,Failed,2022-12-06 12:40:14
41,UPI,14,122,389671,Failed,2022-12-06 12:40:14
42,UPI,14,191,626140,Failed,2022-12-06 12:40:14
43,UPI,15,14,629005,Failed,2022-12-06 12:40:14
44,UPI,15,183,72576,Failed,2022-12-06 12:40:14
45,UPI,15,169,249580,Failed,2022-12-06 12:40:14
46,UPI,16,102,54306,Failed,2022-12-06 12:40:14
47,UPI,16,50,843210,Failed,2022-12-06 12:40:14
48,UPI,16,141,232932,Failed,2022-12-06 12:40:14
49,UPI,17,122,453721,Failed,2022-12-06 12:40:14
50,UPI,17,10,93805,Failed,2022-12-06 12:40:14
51,UPI,17,137,907997,Failed,2022-12-06 12:40:14
52,UPI,18,21,530312,Failed,2022-12-06 12:40:14
53,UPI,18,41,176347,Failed,2022-12-06 12:40:14
54,UPI,18,190,382708,Failed,2022-12-06 12:40:14
55,UPI,19,157,799424,Failed,2022-12-06 12:40:14
56,UPI,19,131,101624,Failed,2022-12-06 12:40:14
57,UPI,19,66,137041,Failed,2022-12-06 12:40:14
58,UPI,20,146,371797,Failed,2022-12-06 12:40:14
59,UPI,20,25,476788,Failed,2022-12-06 12:40:14
60,UPI,20,154,818401,Failed,2022-12-06 12:40:14
61,UPI,21,188,287381,Failed,2022-12-06 12:40:14
62,UPI,21,23,668750,Failed,2022-12-06 12:40:14
63,UPI,21,20,610370,Failed,2022-12-06 12:40:14
64,UPI,22,198,241033,Failed,2022-12-06 12:40:14
65,UPI,22,37,694058,Failed,2022-12-06 12:40:14
66,UPI,22,122,951729,Failed,2022-12-06 12:40:14
67,UPI,23,69,494701,Failed,2022-12-06 12:40:14
68,UPI,23,76,165942,Failed,2022-12-06 12:40:14
69,UPI,23,22,29331,Failed,2022-12-06 12:40:14
70,UPI,24,87,811393,Failed,2022-12-06 12:40:14
71,UPI,24,11,824341,Failed,2022-12-06 12:40:14
72,UPI,24,190,160005,Failed,2022-12-06 12:40:14
73,UPI,25,116,26990,Failed,2022-12-06 12:40:14
74,UPI,25,84,485608,Failed,2022-12-06 12:40:14
75,UPI,25,32,416158,Failed,2022-12-06 12:40:14
76,UPI,26,176,390209,Failed,2022-12-06 12:40:14
77,UPI,26,127,514684,Failed,2022-12-06 12:40:14
78,UPI,26,89,706055,Failed,2022-12-06 12:40:14
79,UPI,27,86,731035,Failed,2022-12-06 12:40:14
80,UPI,27,175,752214,Failed,2022-12-06 12:40:14
81,UPI,27,156,663932,Failed,2022-12-06 12:40:14
82,UPI,28,80,585462,Failed,2022-12-06 12:40:14
83,UPI,28,122,65771,Failed,2022-12-06 12:40:14
84,UPI,28,81,342555,Failed,2022-12-06 12:40:14
85,UPI,29,73,455900,Failed,2022-12-06 12:40:14
86,UPI,29,79,916337,Failed,2022-12-06 12:40:14
87,UPI,29,197,115966,Failed,2022-12-06 12:40:14
88,UPI,30,54,301091,Failed,2022-12-06 12:40:14
89,UPI,30,139,756008,Failed,2022-12-06 12:40:14
90,UPI,30,168,700011,Failed,2022-12-06 12:40:14
91,UPI,31,137,685955,Failed,2022-12-06 12:40:14
92,UPI,31,174,580845,Failed,2022-12-06 12:40:14
93,UPI,31,192,224195,Failed,2022-12-06 12:40:14
94,UPI,32,178,382050,Failed,2022-12-06 12:40:14
95,UPI,32,36,581318,Failed,2022-12-06 12:40:14
96,UPI,32,122,594699,Failed,2022-12-06 12:40:14
97,UPI,33,138,440835,Failed,2022-12-06 12:40:14
98,UPI,33,188,274658,Failed,2022-12-06 12:40:14
99,UPI,33,144,226596,Failed,2022-12-06 12:40:14
100,UPI,34,8,120447,Failed,2022-12-06 12:40:14
101,UPI,34,200,502326,Failed,2022-12-06 12:40:14
102,UPI,34,168,531256,Failed,2022-12-06 12:40:14
103,UPI,35,20,678995,Failed,2022-12-06 12:40:14
104,UPI,35,21,606622,Failed,2022-12-06 12:40:14
105,UPI,35,74,757185,Failed,2022-12-06 12:40:14
106,UPI,36,129,49982,Failed,2022-12-06 12:40:14
107,UPI,36,158,685681,Failed,2022-12-06 12:40:14
108,UPI,36,140,62983,Failed,2022-12-06 12:40:14
109,UPI,37,113,339053,Failed,2022-12-06 12:40:14
110,UPI,37,148,125293,Failed,2022-12-06 12:40:14
111,UPI,37,28,845147,Failed,2022-12-06 12:40:14
112,UPI,38,112,314231,Failed,2022-12-06 12:40:14
113,UPI,38,141,293702,Failed,2022-12-06 12:40:14
114,UPI,38,185,28289,Failed,2022-12-06 12:40:14
115,UPI,39,150,971493,Failed,2022-12-06 12:40:14
116,UPI,39,161,108121,Failed,2022-12-06 12:40:14
117,UPI,39,80,447915,Failed,2022-12-06 12:40:14
118,UPI,40,22,632840,Failed,2022-12-06 12:40:14
119,UPI,40,181,171081,Failed,2022-12-06 12:40:14
120,UPI,40,101,117809,Failed,2022-12-06 12:40:14
121,UPI,41,158,90146,Failed,2022-12-06 12:40:14
122,UPI,41,120,745297,Failed,2022-12-06 12:40:14
123,UPI,41,163,926472,Failed,2022-12-06 12:40:14
124,UPI,42,198,894720,Failed,2022-12-06 12:40:14
125,UPI,42,97,448744,Failed,2022-12-06 12:40:14
126,UPI,42,101,806367,Failed,2022-12-06 12:40:14
127,UPI,43,93,396330,Failed,2022-12-06 12:40:14
128,UPI,43,143,781809,Failed,2022-12-06 12:40:14
129,UPI,43,33,871482,Failed,2022-12-06 12:40:14
130,UPI,44,62,168720,Failed,2022-12-06 12:40:14
131,UPI,44,38,2314,Failed,2022-12-06 12:40:14
132,UPI,44,95,142336,Failed,2022-12-06 12:40:14
133,UPI,45,133,539897,Failed,2022-12-06 12:40:14
134,UPI,45,164,385080,Failed,2022-12-06 12:40:14
135,UPI,45,153,657566,Failed,2022-12-06 12:40:14
136,UPI,46,28,843795,Failed,2022-12-06 12:40:14
137,UPI,46,53,503090,Failed,2022-12-06 12:40:14
138,UPI,46,187,324656,Failed,2022-12-06 12:40:14
139,UPI,47,148,108908,Failed,2022-12-06 12:40:14
140,UPI,47,180,1606,Failed,2022-12-06 12:40:14
141,UPI,47,8,836553,Failed,2022-12-06 12:40:14
142,UPI,48,26,28874,Failed,2022-12-06 12:40:14
143,UPI,48,55,433747,Failed,2022-12-06 12:40:14
144,UPI,48,144,839190,Failed,2022-12-06 12:40:14
145,UPI,49,162,130020,Failed,2022-12-06 12:40:14
146,UPI,49,194,993570,Failed,2022-12-06 12:40:14
147,UPI,49,99,733348,Failed,2022-12-06 12:40:14
148,UPI,50,194,485529,Failed,2022-12-06 12:40:14
149,UPI,50,112,780684,Failed,2022-12-06 12:40:14
150,UPI,50,87,522965,Failed,2022-12-06 12:40:14
151,UPI,51,46,449825,Failed,2022-12-06 12:40:14
152,UPI,51,61,33357,Failed,2022-12-06 12:40:14
153,UPI,51,36,448802,Failed,2022-12-06 12:40:14
154,UPI,52,143,471953,Failed,2022-12-06 12:40:14
155,UPI,52,41,391279,Failed,2022-12-06 12:40:14
156,UPI,52,91,229975,Failed,2022-12-06 12:40:14
157,UPI,53,139,458112,Failed,2022-12-06 12:40:14
158,UPI,53,141,730363,Failed,2022-12-06 12:40:14
159,UPI,53,138,775660,Failed,2022-12-06 12:40:14
160,UPI,54,24,459235,Failed,2022-12-06 12:40:14
161,UPI,54,181,897152,Failed,2022-12-06 12:40:14
162,UPI,54,70,622546,Failed,2022-12-06 12:40:14
163,UPI,55,113,851826,Failed,2022-12-06 12:40:14
164,UPI,55,198,687340,Failed,2022-12-06 12:40:14
165,UPI,55,107,159661,Failed,2022-12-06 12:40:14
166,UPI,56,151,962929,Failed,2022-12-06 12:40:14
167,UPI,56,101,877152,Failed,2022-12-06 12:40:14
168,UPI,56,23,88974,Failed,2022-12-06 12:40:14
169,UPI,57,101,160176,Failed,2022-12-06 12:40:14
170,UPI,57,18,59298,Failed,2022-12-06 12:40:14
171,UPI,57,116,853848,Failed,2022-12-06 12:40:14
172,UPI,58,162,792238,Failed,2022-12-06 12:40:14
173,UPI,58,39,501762,Failed,2022-12-06 12:40:14
174,UPI,58,24,25633,Failed,2022-12-06 12:40:14
175,UPI,59,143,986365,Failed,2022-12-06 12:40:14
176,UPI,59,104,857285,Failed,2022-12-06 12:40:14
177,UPI,59,161,221112,Failed,2022-12-06 12:40:14
178,UPI,60,162,379333,Failed,2022-12-06 12:40:14
179,UPI,60,109,346768,Failed,2022-12-06 12:40:14
180,UPI,60,21,881293,Failed,2022-12-06 12:40:14
181,UPI,61,126,189242,Failed,2022-12-06 12:40:14
182,UPI,61,10,227447,Failed,2022-12-06 12:40:14
183,UPI,61,32,838077,Failed,2022-12-06 12:40:14
184,UPI,62,152,499079,Failed,2022-12-06 12:40:14
185,UPI,62,132,955019,Failed,2022-12-06 12:40:14
186,UPI,62,130,103471,Failed,2022-12-06 12:40:14
187,UPI,63,182,644501,Failed,2022-12-06 12:40:14
188,UPI,63,132,786961,Failed,2022-12-06 12:40:14
189,UPI,63,129,912954,Failed,2022-12-06 12:40:14
190,UPI,64,187,455082,Failed,2022-12-06 12:40:14
191,UPI,64,135,556602,Failed,2022-12-06 12:40:14
192,UPI,64,13,108697,Failed,2022-12-06 12:40:14
193,UPI,65,81,856170,Failed,2022-12-06 12:40:14
194,UPI,65,173,90017,Failed,2022-12-06 12:40:14
195,UPI,65,133,412156,Failed,2022-12-06 12:40:14
196,UPI,66,151,856913,Failed,2022-12-06 12:40:14
197,UPI,66,148,325638,Failed,2022-12-06 12:40:14
198,UPI,66,27,314254,Failed,2022-12-06 12:40:14
199,UPI,67,138,370002,Failed,2022-12-06 12:40:14
200,UPI,67,140,510975,Failed,2022-12-06 12:40:14
201,UPI,67,99,379020,Failed,2022-12-06 12:40:14
202,UPI,68,30,826969,Failed,2022-12-06 12:40:14
203,UPI,68,167,870192,Failed,2022-12-06 12:40:14
204,UPI,68,46,420774,Failed,2022-12-06 12:40:14
205,UPI,69,189,70531,Failed,2022-12-06 12:40:14
206,UPI,69,50,290885,Failed,2022-12-06 12:40:14
207,UPI,69,167,740103,Failed,2022-12-06 12:40:14
208,UPI,70,126,799937,Failed,2022-12-06 12:40:14
209,UPI,70,180,869371,Failed,2022-12-06 12:40:14
210,UPI,70,138,812212,Failed,2022-12-06 12:40:14
211,UPI,71,55,48206,Failed,2022-12-06 12:40:14
212,UPI,71,102,38311,Failed,2022-12-06 12:40:14
213,UPI,71,30,61912,Failed,2022-12-06 12:40:14
214,UPI,72,146,981195,Failed,2022-12-06 12:40:14
215,UPI,72,20,245642,Failed,2022-12-06 12:40:14
216,UPI,72,46,967338,Failed,2022-12-06 12:40:14
217,UPI,73,152,258359,Failed,2022-12-06 12:40:14
218,UPI,73,8,200853,Failed,2022-12-06 12:40:14
219,UPI,73,83,988579,Failed,2022-12-06 12:40:14
220,UPI,74,127,334065,Failed,2022-12-06 12:40:14
221,UPI,74,69,907630,Failed,2022-12-06 12:40:14
222,UPI,74,189,479078,Failed,2022-12-06 12:40:14
223,UPI,75,174,570184,Failed,2022-12-06 12:40:14
224,UPI,75,22,594404,Failed,2022-12-06 12:40:14
225,UPI,75,132,123180,Failed,2022-12-06 12:40:14
226,UPI,76,159,961328,Failed,2022-12-06 12:40:14
227,UPI,76,179,433900,Failed,2022-12-06 12:40:14
228,UPI,76,78,37057,Failed,2022-12-06 12:40:14
229,UPI,77,153,226909,Failed,2022-12-06 12:40:14
230,UPI,77,113,995377,Failed,2022-12-06 12:40:14
231,UPI,77,64,170418,Failed,2022-12-06 12:40:14
232,UPI,78,116,885688,Failed,2022-12-06 12:40:14
233,UPI,78,52,592628,Failed,2022-12-06 12:40:14
234,UPI,78,93,476196,Failed,2022-12-06 12:40:14
235,UPI,79,121,147870,Failed,2022-12-06 12:40:14
236,UPI,79,56,41162,Failed,2022-12-06 12:40:14
237,UPI,79,128,745054,Failed,2022-12-06 12:40:14
238,UPI,80,85,176155,Failed,2022-12-06 12:40:14
239,UPI,80,36,883618,Failed,2022-12-06 12:40:14
